Study,DOI
"Bell et al, 2022",https://doi.org/10.1038/s41929-022-00821-3
"Brott et al, 2021",https://doi.org/10.1002/elsc.202100105
"Chen et al, 2021",https://doi.org/10.1016/j.jhazmat.2022.128816
"Erickson et al, 2022",https://doi.org/10.1038/s41467-022-35237-x
"Furukawa et al, 2019",https://doi.org/10.1038/s41598-019-52379-z
"Guo et al, 2022",https://doi.org/10.1021/acscatal.1c05548
"Han et al, 2017",https://doi.org/10.1038/s41467-017-02255-z
"Joo et al, 2018",https://doi.org/10.1038/s41467-018-02881-1
"Li Q. et al, 2022",https://doi.org/10.1016/j.csbj.2021.12.042
"Li Z. et al, 2022",https://doi.org/10.1016/j.bbrc.2022.07.103
"Liu et al, 2018",https://doi.org/10.1002/cbic.201800097
"Lu et al, 2022",https://doi.org/10.1038/s41586-022-04599-z
"Ma et al, 2018",https://doi.org/10.1016/j.eng.2018.09.007
"Norton-Baker et al, 2025",https://doi.org/10.1021/acscatal.5c03460
"Nakamura et al, 2021",https://doi.org/10.1021/acscatal.1c01204
"Pfaff et al, 2022",https://doi.org/10.1021/acscatal.2c02275
"Sagong et al, 2022",https://doi.org/10.1016/j.jhazmat.2022.128267
"Seo et al, 2025",https://doi.org/10.1126/science.adp5637
"Son et al, 2019",https://doi.org/10.1021/acscatal.9b00568
"Sonnendecker et al, 2021",https://doi.org/10.1002/cssc.202101062
"Then et al, 2016",https://doi.org/10.1002/2211-5463.12053
"Tournier et al, 2020",https://doi.org/10.1038/s41586-020-2149-4
"Wang et al, 2022",https://doi.org/10.1016/j.engmic.2022.100020
"Wei et al, 2016",https://doi.org/10.1002/bit.25941
"Xi et al, 2021",https://doi.org/10.1016/j.enzmictec.2020.109715
"Zeng et al, 2022",https://doi.org/10.1021/acscatal.1c05800
"Zhang et al, 2021",https://doi.org/10.3389/fmicb.2021.803896
